code,detail
42kol/per,"Koltoff I.M., Perlich R.W. and Weiblen D., 1942. Solubility of lead sulfate and lead oxalate in various media. J. Phys. Chem, 46, p. 561."
99kon/kon,"Konigsberger E., Konisberger L.C., and Gamsjager H., 1999. Low temperature thermodynamic model for the system Na2CO3 MgCO3 CaCO3 H2O. Geochimica et Cosmochimica Acta, 63, p. 3105-3119."
84pan/stu,"L.B. Pankratz, J.M. Stuve, and N.A. Gokcen, 'Thermodynamic Data for Mineral Technology,' Bulletin 677, U.S. Bureau of Mines (1984)."
06lan/mah,"Langmuir D, Mahoney J, Rowson J (2006) Solubility products of amorphous ferric arsenate and crystalline scorodite (Fe- AsO4_2H2O) and their application to arsenic behavior in buried mine tailings. Geochim Cosmochim Acta 70:2942-2956"
18las/bla,"Lassin, A., Blanc, P., 2018. Thermoddem : selection des proprietes thermodynamiques des complexes aqueux et des mineraux porteurs de zinc, p. 42."
14las/pia,"Lassin, A., Piantone, P., Crouzet, C., Bodenan, F., Blanc, P., 2014. Estimated thermodynamic properties of NaFeS2 and erdite (NaFeS2:2H2O). Applied Geochemistry 45, 14-24. doi:10.1016/j.apgeochem.2014.02.015"
52lat,"Latimer W.M., 1952. Oxidation states of the elements and their potentials in aqueous solution, Prentice Hall, New Jersey,.392 pp."
53leu/kho,"Leussing, D.L., Kholtoff, I.M. (1953) The solubility product of ferrous and the ionization of aquo-ferrous ion. J. Amer. Chem. Soc. 75, 2476-2479."
01mer/vie,"Lionel Mercury, Philippe Vieillard, Yves Tardy, 2001. Thermodynamics of ice polymorphs and 'ice-like' water in hydrates and hydroxides. Applied Geochemistry, Volume 16, Issue 2, February 2001, Pages 161-181"
99lot/och,"Lothenbach B., Ochs M., Wanner H., and Yui M., 1999. Thermodynamic data for the speciation and solubility of Pd, Pb, Sn, Sb, Nb and Bi in aqueous solution. JNC TN8400 99 011."
00lyd,"Lyde D.R., 2000. CRC Handbook of Chemistry and Physics, 2000-200. CRC Press"
11maj/dra,"Majzlan J, Drahota P, Filippi M, Novak M, Loun J and Grevel K-D 2011. Thermodynamics of Crystalline iron(III) Arsenates Scorodite, Kankite, and Bukovskyite. Goldschmidt 2011 Conference Abstract 1391"
04maj/nav,"Majzlan, J., Navrotsky, A., Schwertmann, U. (2004) Thermodynamics of iron oxides: Part III. Enthalpies of formation and stability of ferrihydrite (~Fe(OH)3), schwertmannite (~FeO(OH)3/4(SO4)1/8), and e-Fe2O3. Geochimica et Cosmochimica Acta 68, 1049-1059"
05maj/nav,"Majzlan, J., Navrotsky, A., Stevens, R., Donaldson, M., Woodfield, B.F., Boerio-Goates, J. (2005) Thermodynamics of monoclinic Fe2(SO4)3. Journal of Chemical Thermodynamics 37, 802-809"
04maj/ste,"Majzlan, J., Stevens, R., Boerio-Goates, J., Woodfield, B.F., Navrotsky, A., Burns, P.C., Crawford, M.K., Amos, T.G. (2004) Thermodynamic properties, low-temperature heat capacity anomalies, and single crystal X-ray refinement of hydronium jarosite, (H3O)Fe3(SO4)2(OH)6. Physics and Chemistry of Minerals 31, 518-531"
03maj/gre,"Majzlan., J., Grevel, K.-D., Navrotsky, A., (2003) Thermodynamics of iron oxides. H. Enthalpies of formation and relative stability of goethite (a-FeOOH), lepidocrocite (y-FeOOH), and maghemite (y-Fe2O3). American Mineralogist 88, 855-859."
52meg,"Megaw D., 1952, The structure of afwillite, Ca3(SiO3OH)2*2H2O, Locality: Scawt Hill, Northern Ireland, Act. Cryst.D60, v. 5, p. 477-495."
76men/sab,"Menchetti S., Sabelli C. (1976) Neues Jb. Miner., Mh., H.9, 406-417"
00mer/bon,"Merlino, S., Bonaccorsi, E., and Armbruster, T., 2000, The real structure of clinotobermorite and tobermorite 9 A: OD character, polytypes, and structural relationships: European Journal of Mineralogy, v. 12, p. 411-429."
83miy/kle,"Miyano T, Klein C (1983 a) Phase relations of orthopyroxene, olivine, and grunerite in high-grade metamorphic iron-formation.Am Mineral 68:699-716"
70moo/tay,"Moore A.E., Taylor H.F.W., 1970.  Acta Cryst., B26, 386-393"
NIST46.4,"NIST (1997) Critical stability constants of metal complexes database, NIST Standard Reference Database 46, v4.0. Website: http://www.nist.gov/srd/nist46.htm"
84nan,"Nancollas G.H., 1984, The nucleation and growth of phosphate minerals, Chap. 2. In: Phosphate Minerals, J.O. Nriagu and P.B. Moore (Eds), Springer-Verlag, ISBN 3-540-12757-7, 318-329"
74nau/ryz,"Naumov G.B., Ryzhenko B.N., and Khodakovsky I.L., 1974. Handbook of Thermodynamic Data. U.S. Geol. Surv.WRD 74 001, 328 pp."
07neu/wan,"Neuhoff P. S. and Wang J. (2007) Heat capacity of hydration. American Mineralogist 92, 1358-1367"
04neu/hov,"Neuhoff, P.S., Hovis, G.L., Balassone, G., and Stebbins, J.F., 2004, Thermodynamic properties of analcime solid solutions. American Journal of Science, v. 304, p. 21-66."
56new,"Newman, E., 1956., Heats. of Formation of Xonotlite, Hillebrandite, and Foshagite: Journal of Research of the National Bureau of. Standards, v. 57, p. 27-30."
90nor/plu,"Nordstrom D.K., Plummer L.N., Langmuir D., Busenberg E., May H.M., Jones B.F., and Parkhurst D.L., 1990. Revised chemical equilibrium data for major water-mineral reactions and their limitations, in Bassett, R.L. and Melchior, D. eds., Chemical modeling in aqueous systems II: Washington D.C., American Chemical Society Symposium Series 416, p. 398-413."
74nri,"Nriagu J.O., 1974. Lead orthophosphates-IV Formation and stability in the environment. Geochimica et Cosmochimica Acta, 38, p. 887 898."
76nri,"Nriagu J.O., 1976, Phosphate-clay mineral relations in soils and sediments. Can. J. Earth Sci., 13, 717-736"
84nri,"Nriagu J.O., 1984, Formation and stability of base metal phosphates in soils and sediments, Chap. 10. In: Phosphate Minerals, J.O. Nriagu and P.B. Moore (Eds), Springer-Verlag, ISBN 3-540-12757-7, 318-329"
91kna/kub,"O. Knacke, O. Kubaschewski and K. Hesselmann: Thermochemical Properties of Inorganic Substances, Second Edition, (Springer-Verlag, 1991)"
63oet/mdo,"Oetting F.L., Mac Donald R.A., 1963, The thermodynamic properties of magnesium orthophosphate and magnesium pyrophosphate. J. Phys. Chem., 63, 2737-2743"
10pal/gam,"Palmer, D.A., Gamsjager, H., 2010. Solubility measurements of crystalline beta-Ni(OH)2 in aqueous solution as a function of temperature and pH. Journal of Coordination Chemistry 63, 2888-2908."
82pan,"Pankratz L. B., 1982, Thermodynamic Properties of Elements and Oxides (U. S. Bureau of Mines Bulletin 672, 1982, 509 p)."
84pan,"Pankratz L. B., 1984, Thermodynamic Properties of Halides (U. S. Bureau of Mines Bulletin 674, 1984, 826 p)."
87pan/mah,"Pankratz L. B., 1987, A. D. Mah, and S. W. Watson, Thermodynamic Properties of Sulfides (U. S. Bureau of Mines Bulletin 689, 1987, 427 p)."
94pan,"Pankratz L. B., 1994, Thermodynamic Properties of Carbides, Nitrides, and Other Selected Substances (U. S. Bureau of Mines Bulletin 696, 1994, 957 p)."
95par/kho,"Parker, V.B., Khodakovsky, I.L. (1995) Thermodynamic properties of aqueous ions (2+ et 3+) of iron and the key compouds of iron. J. Phys. Chem. Ref. Data 24 (5) p. 1699-1745."
11par/cor,"Parmentier M., Corvisier J., Chiquet P., Parra T. et Sterpenich J. 2011. La modelisation geochimique de la reactivite des gaz annexes co-injectes avec le CO2 : possibilites et limites des codes de calcul via une application. BRGM/RP-60605-FR"
02par/vid,"Parra, T., Vidal, O., and Agard, P., 2002, A thermodynamic model for fe-mg dioctahedral k white micas using data from phase-equilibrium experiments and natural pelitic assemblages: Contribution to Mineralogy and Petrology, v. 143, p. 706-732."
08per/pok,"Perfetti E., Pokrovski G., Ballerat-Busserolles K., Majer V., Gibert F. (2008) Densities and heat capacities of aqueous arsenious and arsenic acid solutions to 350 C and 300 bar, and revised thermodynamic properties of As(OH)3(aq), AsO(OH)3(aq) and iron sulfarsenide minerals. Geochimica et Cosmochimica Acta 72, 713-731"
00per/pal,"Perkins R.B. and Palmer C.D., 2000. Solubility of Ca6[Al(OH)6]2(CrO4)3.26 H2O, the chromate analog of ettringite; 5-75C. Applied Geochem., 15, p. 1203-1218."
01per/pal,"Perkins R.B. and Palmer C.D., 2001. Solubility of chromate hydrocalumite (3CaO.Al2O3.CaCrO4.nH2O) at 5-75C. Cement and Concrete Research, 31, pp. 983-992."
06pia/bod,"Piantone P., Bodenan F. et Lassin A., 2006. Projet NOVOSOL - Evaluation environnementale de sediments phosphates et calcines. Rapport BRGM/RP-54845-FR, 133 p."
92plo/wic,"Plodinec M. J. and Wicks G. G. (1992) Applications of hydration thermodynamics to in-situ tests results. In: Proc. Workshop on In Situ Testiong of Radioactive Waste Forms and Engineered Barriers, Corsendonk, Belgium, oct. 13-16, 1992."
76plu/jon,"Plummer L.N., Jones B.F. and Truesdell A.H., 1976, WATEQF - A FORTRAN IV version of WATEQ, a computer program for calculating chemical equilibrium of natural waters:  U.S.G.S. Water Resources Inv. 76-13., 63 p."
82plu/bus,"Plummer, L.N. and Busenberg, E., 1982. The Solubilities of Calcite, Aragonite, and Vaterite in CO2-H2O Solutions Between 0 and 90 C and an Evaluation of the Aqueous Model of the System CaCO3-CO2-H2O. Geochimica et Cosmochimica Acta, Vol. 46, p. 1011-1040."
98ply/zha,"Plyasunova N. V., Zhang Y., and Muhammed M. (1998) Critical evaluation of thermodynamics of complex formation of metal ions in aqueous solutions. V. hydrolysis and hydroxo-complexes of Co2+ at 298.15 K. Hydrometallurgy 48(2), 153-169."
96pok/gou,"Pokrovski G., Gout R., Schott J., Zotov A. and Harrichoury J.C., 1996. Thermodynamic properties and stoichiometry of As (III) hydroxide complexes at hydrothermal conditions. Geochimica et Cosmochimica Acta, 60, 737-749"
98pok/sch,"Pokrovski G.S. and Schott J., 1998. Thermodynamic properties of aqueous Ge(IV) hydroxide complexes from 25 to 350C: Implications for the behavior of germanium and the Ge/Si ratio in hydrothermal fluids. Geochimica et Cosmochimica Acta, 62, 1631-1642"
95pok/hel,"Pokrovskii, V.A., and Helgeson, H.C., 1995, Thermodynamic properties of aqueous species and the solubilities of minerals at high pressures and temperatures: The system Al2O3-H2O-NaCl:  Amer. J. Sci., 295, 1255-1342."
07pow/bro,"Powell, K.J., Brown, P.L., Byrne, R.H., Gadja, T., Hefter, G., Sjoberg, S., Wanner, H., 2007. Chemical speciation of environmentally significant metals with inorganic ligands Part 2 : The Cu[2+]-OH[-], Cl[-], CO[3][2-], SO[4][2-], and PO[4][3-] systems : (IUPAC Technical Report). Pure and applied chemistry, USA."
13pow/bro,"Powell, K.J., Brown, P.L., Byrne, R.H., Gajda, T., Hefter, G., Leuz, A.-K., Sjoberg, S., Wanner, H., 2013. Chemical speciation of environmentally significant metals with inorganic ligands. Part 5: The Zn2++ OH-, Cl-, CO32-, SO42-, and PO43-systems (IUPAC Technical Report). Pure and Applied Chemistry 85, 2249-2311."
05pow/bro,"Powell, K.J., Brown, P.L., Byrne, R.H., Gajda, T., Hefter, G., Sjoberg, S., Wanner, H., 2005. Chemical speciation of environmentally significant heavy metals with inorganic ligands. Part 1: The Hg2+- Cl-, OH-, CO32-, SO42-, and PO43- aqueous systems (IUPAC Technical Report). Pure and Applied Chemistry 77, 739-800."
01pre/gam,"Preis W., and Gamsjager H., 2001. Invited Review Thermodynamic Investigation of Phase Equilibria in Metal Carbonate Water Carbon Dioxide Systems. Monatshefte fur Chemie, 132, p. 1327 1346."
00pui,"Puigdomenech, I., 2000. Thermodynamic data for copper: implications for the corrosion of copper under repository conditions, SKB report. SKB/Swedish Nuclear Fuel and Waste Management, p. 96."
68rac/sop,"Racz G.J., Soper R.J., 1968, Solubility of dimagnesium phosphate trihydrate and trimagnesium phosphate. Can. J. Soil Sci., 48, 265-269"
91rai/fel,"Rai D., Felmy A.R., and Szelmeczka R.W., 1991. Hydrolysis Constants and Ion Interaction Parameters For Cd(II) in Zero to High Concentrations of NaOH KOH, and the Solubility Product of Crystalline Cd(OH)2. Journal of Solution Chemistry, 20, p. 375 390."
87rai/sas,"Rai D., Sass B.M. and Moore D.A., 1987. Chromium (III) hydrolysis constants and solubility of chromium (III) hydroxide. Inorg. Chem., 26, p. 345-349."
82ric/bot,"Richet P., Bottinga Y., Denielon L., Petitet J.P., and Tequi C., 1982. Thermodynamics properties of quartz, cristobalite and amorphous SiO2: Drop calorimetry measurements between 1000 and 1800 K and a review from 0 to 2000 K. Geochimica et Cosmochimica Acta, 46, p. 2639-2658."
78ric/nri,"Rickard D.T., Nriagu J.O., 1978, Aqueous environmental chemistry of lead. In: The biochemistry of lead in the environment. Part A. Ecological Cycles, J.O. Nriagu (Ed), Elsevier/North-Holland Biomedical Press, 219-284"
90rin/sac,"Rinaldi R., Sacerdoti M., Passaglia E. (1990) Eur. J. Mineral., 2, 841-849"
90rob/cam,"Roberts, Willard L., Campbell, Thomas J., and Rapp, George R.: Encyclopedia of Minerals. (Van Nostrand Reinhold Co., 2nd ed., 1990)"
84rob/hem,"Robie R. A. and Hemingway B. S., 1984. Heat capacities and  entropies of phlogopite KMg3AlSi3O1O(OH)2 and paragonite NaAl2AlSi3O1O(OH)2 between 5 and 9OO K and estimates of the enthalpies and Gibbs free energies of formation. Amer. Miner., 69, p. 858-868."
91rob/hem,"Robie R.A. and Hemingway B.S. (1991) - Heat capacities of kaolinite from 7 to 380 K and of DSMO-intercalated kaolinite AI2Si20 (OH). Clays and Clay Minerals, 39, p. 362-368"
72rob/hem,"Robie R.A. and Hemingway B.S., 1972. The heat capacities at low-temperatures and entropies at 298.15 K of nesquehonite, MgCO3 :3H2O, and hydromagnesite. Am. Mineral., 57, pp. 1768-1781."
76rob/hem,"Robie R.A., Hemingway B.S. and Wilson H.W. (1976) - The heat capacities of calorimetry conference copper and of muscovite, pyrophylite, and illite between 15 and 375 K and their standard entropies at 298.15 K. J. Research U.S. Geol. Survey., 4, p. 631-644."
95rob/hem,"Robie R.A., and Hemingway B.S., 1995. Thermodynamic properties of minerals and related substances at 298.15 K and 1 Bar (105 Pascals) pressure and at higher temperatures. U.S. Geol. Survey Bull., 2131, 461 pp."
63rob/sto,"Robie, R. A., and J. W. Stout, 1963. Heat capacity from 12 to 305K and entropy of talc and tremolite. J. Phys. Chem., 57, p. 2252-2256"
04roi,"Roine A., 2004. HSC Chemistry: v5.0, Outokompu Research Oy: Pori."
18roo/vie,"Roosz, C., Vieillard, P., Blanc, P., Gaboreau, S., Gailhanou, H., Braithwaite, D., Montouillout, V., Denoyel, R., Henocq, P., Made, B., 2018. Thermodynamic properties of C-S-H, C-A-S-H and M-S-H phases: Results from direct measurements and predictive modelling. Applied Geochemistry 92, 140-156."
96rou/hov,"Roux J. and Hovis G. L., 1996. Thermodynamic mixing models for muscovite-paragonite solutions based on solution calorimetric and phase equilibrium data. Journal of Petrology, 37, p. 1241-1254"
83san/bar,"Sangameshwar S.R., and Barnes H.L., 1983. Supergene processes in zinc lead silver sulfide ores in carbonates, Econ. Geol., 78, p 1379 1397."
98sas/sho,"Sassani, D.C., and Shock, E.L., Solubility and Transport of Platinum-Group Elements in Supercritical fluids:  Estimates of standard partial molal properties, oxidation potentials, and hydrolysis constants at high temperatures and pressures:  Geohim. Cosmo. Acta, v. 61, no. 20, pp. 4245-4266."
08sch/lot,"Schmidt, T., Lothenbach, B., Romer, M., Scrivener, K.L., Rentsch, D., Figi, R. (2008), A thermodynamic and experimental study of the conditions of thaumasite formation, Cement and Concrete Research, 38(3), 337-349."
99sch/nav,"Schoenitz, M., and Navrotsky, A., 1999, Enthalpy of Formation of Katoite Ca3Al2[(OH)4]3:  Energetics of the Hydrogarnet Substitution. American Mineralogist, v. 84, p.389-391"
93sch/got,"Schwab R. G., Gotz C., Herold H., and Oliveira N. P. (1993) Compounds of the crandallite type-Thermodynamic properties of Caphosphates, Sr-phosphates, Ba-phosphates, Pb-phosphates, La-phosphates, Ce-phosphates to Gd-phosphates and Ca-arsenates, Ba-arsenates, Pb-arsenates, La-arsenates, Ce-arsenate.Srarsenates, Neues Jahrb Miner Monatsh. 12, 551-568."
89sch/her,"Schwab R. G., Herold H., Costa M. L. D., and Oliveira N. P. (1989) The formation of aluminous phosphates through lateritic weathering of rocks. Weathering 2, 369-386."
92sea/rob,"Seal R.R., Robie R.A., Barton P.B., and Hemingway B.S. (1992) Superambient heat capacities of synthetic stibnite, berthierite, and chalcostibnite: Revised thermodynamic properties and implications for phase equilibria. Econ. Geol. 87, 1911-1918."
97asho/sas,"Shock, E.L., Sassani, D.C., Willis, M., and Sverjensky, D.A., 1997, Inorganic species in geologic fluids: Correlations among standard molal thermodynamic properties of aqueous ions and hydroxide complexes: Geochim. Cosmo. Acta, v. 61, no. 5, pp. 907-950."
97csho/sas,"Shock, E.L., Sassani, D.C., and Betz, H., 1997, Uranium in geologic fluids:  Estimates of standard partial molal properties, oxidation potentials, and hydrolysis constants at high temperatures and pressures:  Geohim. Cosmo. Acta, v. 61, no. 20, pp. 4245-4266"
01sme/fra,"Smelik, E.A., Franz, G., Navrotsky, A., 2001. A calorimetric study of zoisite and clinozoisite solid solutions. American Mineralogist 86, 80-91."
97smi/mar,"Smith R. M., Martell A. E., and Motekaitis R. J. (1997) NIST Critically Selected Stability Constants of Metal Complexes Database, Version 4.0. NIST Standard Reference Database 46. U.S. Department of Commerce"
66spi/mik,"Spitsyn V.I., Mikheev H.B., Khermann A., 1966, Thermodynamic study of the distribution of micro quantities of strontium between barium hydrogen phosphate and a solution. Dokl. Akad. Nauk. SSSR, 166, 658-659 (in russian)"
88sto,"Stoessell, R. K. (1988) 25oC and 1 atm dissolution experiments of sepiolite and kerolite: Geochimica Cosmochimica Acta, 52, 365-374."
90sto/cyg,"Stoffregen R. E., Cygan G.L. (1990). An experimental study of Na-K exchange between alunite and aqueous sulfate solutions. Am. Min., 75:209-220"
93sto,"Stoffregen R.E. (1993). Stability relations of jaroiste and natrojarosite. Geoch. And Cosmoch. Acta, 57, 2417-2419."
96su/har,"Su, C., and J.B. Harsh. 1996. Influence of soluble aluminosilicate complex formation on imogolite solubility determination. Geochim. Cosmochim. Acta 60:4275-4277."
63tay/fra,"Taylor A.W., Frazier A.W., Gurney E.L. and Smith J.P., 1963. Solubility product of di- and tri-magnesium phosphates and the dissociation of magnesium phosphate solutions. Trans. Farad. Soc., 59, 1585-1589"
64atay/gur,"Taylor A.W., Gurney E.L., 1964a, The dissolution of calcium aluminum phosphate CaAlH(PO4)2.6H2O. Soil Sci. Soc. Am. Proc., 28, 63-64"
97tay,"Taylor H.F.W. , 1997 Cement Chemistry, 2nd. Ed., Thomas Telford, London."
84tay/lop,"Taylor P., and Lopata V.J., 1984. Stability and solubility relationships between some solids in the system PbO CO2 H2O. Can. J. Chem., 62, p. 395 402."
92tay,"Taylor, H. F. W., 1992, Cement Chemistry, third edition: London, Thomas Telford, 475 p."
82far/fra,"V.C. Farmer and A.R. Fraser, Chemical and colloidal stability of sols in the Al2O3-Fe2O3-SiO2-H2O system: Their role in podzolization, J. Soil Sci. 33 (1982), pp. 737-742"
90pap/ber,"V.G. Papangelakis, D. Berk and G.P. Demopoulos, Mathematical modeling of an exothermic leaching reaction system: pressure oxidation of wide size arsenopyrite particulates. Metall. Trans. B,  21B  (1990), pp. 827-837."
68val/kog,"Valyashko V.M., Kogarko L.N., Khodakovsky I.L., 1968, Stability of fluorapatite, chlorapatite, and hydroxylapatite in aqueous solutions at different temperature. Geoch. Inter., 5, 21-30"
82van,"Vanderzee C.E., 1982. Thermodynamic relations and equilibria in (Na2CO3 + NaHCO3 + H2O): Standard Gibbs energies of formation and other properties of sodium hydrogen carbonate, sodium carbonate heptahydrate, sodium carbonate decahydrate, trona: (Na2CO3CNaHCO3C2H2O), and Wegscheider's salt: (Na2CO3C3NaHCO3). J. Chem. Thermodynamics, 14, 219-238"
05vid/par,"Vidal O., Parra T., Vieillard, P., 2005. Thermodynamic properties of the Tschermak solid solution in Fe-chlorite: Application to natural examples and possible role of oxidation. American Mineralogist 90, 347-358."
01vid/par,"Vidal, O., Parra, T. and Trotet, F (2001): A thermodynamic model for Fe-Mg aluminous chlorite using data from phase equilibrium experiments and natural pelitic assemblages in the 100-600C, 1-25 kbar P-T range. Am. J. Sci., 301, 557-592."
10vie,"Vieillard P., 2010 - A predictive model for the entropies and heat capacities of zeolites. Eur. J. Mineral. 22, 823-836"
84vie/tar,"Vieillard P., Tardy Y., 1984, Thermochemical properties of phosphates, Chap. 4. In: Phosphate Minerals, J.O. Nriagu and P.B. Moore (Eds), Springer-Verlag, New York, ISBN 3-540-12757-7, 171-198"
79vie/tar,"Vieillard P., Tardy Y., Nahon D., 1979, Stability field of clays and aluminum phosphates: Parageneses in lateritic weathering of argillaceous phosphatic sediments. Am. Miner., 64, 626-634"
79vol,"Volkov A.I., 1979, Thermochemical study of 3d element orthophosphates. Khim. Khim. Tekhnol. (Minsk), 14, 58-64 (in russian)"
68wag/eva,"Wagman D.D., Evans W.H., Parker V.B., Halow I., Bailey S.M., Schumm R.H., 1968. Selected values of chemical thermodynamic properties. Natl. Bur. Stand. Tech. Note, 270-3, 264 p."
69wag/eva,"Wagman D.D., Evans W.H., Parker V.B., Halow I., Bailey S.M., Schumm R.H., 1969. Selected values of chemical thermodynamic properties. Natl. Bur. Stand. Tech. Note, 270-4, 152 p."
82wag/eva,"Wagman D.D., Evans W.H., Parker V.B., Schumm R.H., Halow I., Bailey S.M., Churney K.L., and Nutall R.L., 1982. The NBS Tables of Chemical Thermodynamic Properties. J. Phys. Chem. Ref. Data, 11, Suppl. 2."
05wal/pel,"Waldner, P., Pelton, A.D. (2005) Thermodynamic modeling of the Fe-S system. Journal of Phase Equilibria and Diffusion 26, 23-38."
02wal/pre,"Wallner, H., Preis, W., Gamsjager, H., 2002. Solid-solute phase equilibria in aqueous solutions: XV [1]. Thermodynamic analysis of the solubility of nickel carbonates. Thermochimica acta 382, 289-296."
04wan/li,"Wang T. and Li Z., 2004. Some thermodynamic properties of calcium chromate. J. Chem. Eng. Data, 49, p. 1300-1302."
70web/rac,"Webber M.D., Racz G.J., 1970, Soluble complexes in the systems dicalcium phosphate dihydrate or dimagnesium phosphate trihydrate equilibrated with aqueous salt solutions. Can. J. Soil Sci., 50, 243-253"
01wen/mus,"Wentzel M.C., Musvoto E.V. and Ekama G.A., 2001. Application of integrated chemical - physical processes modelling to aeration treatment of anaerobic digester liquors. Environmental Technology, 22, 1287-1293"
92wol,"Wolery T.J., 1992. EQ3/6: A software Package for Geochemical Modelling of Aqueous Systems: Package Overview and Installation Guide. Technical Report UCRL-MA-110662 PT I ed., Lawrence Livermore National Laboratory (USA)."
87woo/gar,"Woods T. L. and Garrels R. M. (1987) Thermodynamic values at low temperature for natural inorganic materials. An uncritical summary. Oxford University Press, New York."
63wyc,"Wyckoff, R.W.G., 1963, Crystal Structures, Second edition, tome 4, Interscience Publishers, New York, p. 320-322."
09xio,"Xiong, Y., 2009. The aqueous geochemistry of thallium: speciation and solubility of thallium in low temperature systems. Environmental Chemistry 6, 441-451."
99yun/glu,"Yungman V.S., and Glusko V.P., 1999. Thermal constants of substances. Wiley, Begell House, New York."
51zha,"Zharovskii F.G., 1951, The solubility of phosphates. Trudy. Kom. Anal. Khim. Akad. Nauk. SSSR, 3, 101-115 (in russian)"
03zot/shi,"Zotov A. V., Shikina N. D. and  Akinfiev N. N., 2003. Thermodynamic properties of the Sb(III) hydroxide complex Sb(OH)3(aq) at hydrothermal conditions. Geochimica et Cosmochimica Acta, Volume 67, 1821-1836"
00zue/feh,"Zuern, S.G., and Fehr, K.T., 2000. Phase relations and thermodynamic properties of 1.13 nm tobermorite and xonotlite. In: Sixth International Symposium on Hydrothermal reactions/Fourth International Conference on Solvo-thermal Reactions, Kochi, Japan, pp. 286-289."
